,WL,n,k
0,0.3,1.6318248528574002,0.00011702894333612268
1,0.31,1.6307281410579062,8.84271536469375e-05
2,0.32,1.6306610590358352,7.283184325896745e-05
3,0.33,1.630615715528314,6.0317503211127856e-05
4,0.34,1.6305678029997894,4.67971099221177e-05
5,0.35000000000000003,1.630522672428241,3.241368182105413e-05
6,0.36000000000000004,1.6304828578938544,2.229521020799361e-05
7,0.37000000000000005,1.6304488434908642,1.797808872097114e-05
8,0.38000000000000006,1.6304196350909308,1.6931754546539807e-05
9,0.39000000000000007,1.6303941754265787,1.561754265787621e-05
10,0.4000000000000001,1.6303719271523085,1.4008113431943704e-05
11,0.4100000000000001,1.6303516959307303,1.1400000000000001e-05
12,0.4200000000000001,1.6303336066144407,1.11e-05
13,0.4300000000000001,1.6303175193299744,1.1604806700256258e-05
14,0.4400000000000001,1.6303039809824953,1.1498098249511937e-05
15,0.4500000000000001,1.6302929559336758,1.21e-05
16,0.46000000000000013,1.6302824106104015,1.09998037682682e-05
17,0.47000000000000014,1.6302713135727842,1.0300000000000001e-05
18,0.48000000000000015,1.6302606373353272,8.663733532731169e-06
19,0.49000000000000016,1.6302513560084524,9.1e-06
20,0.5000000000000002,1.6302424459806373,7.533794191157822e-06
21,0.5100000000000002,1.6302318849886293,6.1619492040497695e-06
22,0.5200000000000002,1.6302193077635965,5.765388179819571e-06
23,0.5300000000000002,1.630204466058036,5.489321160721594e-06
24,0.5400000000000003,1.6301863160790238,4.9105359674539965e-06
25,0.5500000000000003,1.6301662665824954,4.5e-06
26,0.5600000000000003,1.6301426722711883,4.5e-06
27,0.5700000000000003,1.6301163159702892,4.8e-06
28,0.5800000000000003,1.630087130162854,5.277396742924305e-06
29,0.5900000000000003,1.6300552334944716,5.8153301105688514e-06
30,0.6000000000000003,1.6300210821925085,6.531963458189968e-06
31,0.6100000000000003,1.6299832587043726,7.128406127691333e-06
32,0.6200000000000003,1.6299426046682133,7.967906635732058e-06
33,0.6300000000000003,1.629899842186967,8.664472662912323e-06
34,0.6400000000000003,1.629853465996158,8.900000000000001e-06
35,0.6500000000000004,1.6298049361301952,9e-06
36,0.6600000000000004,1.6297536571507905,8.887896089471798e-06
37,0.6700000000000004,1.6296990225086354,9.233145761371414e-06
38,0.6800000000000004,1.6296415213866955,9.698340088337748e-06
39,0.6900000000000004,1.6295949707513402,1.0716331127447155e-05
40,0.7000000000000004,1.62955534475019,1.1888508326997723e-05
41,0.7100000000000004,1.6295154707448223,1.3487424406735599e-05
42,0.7200000000000004,1.6294744185920154,1.520618646349362e-05
43,0.7300000000000004,1.6294337764521112,1.7040075924539923e-05
44,0.7400000000000004,1.6293914235807285,1.9522601376531744e-05
45,0.7500000000000004,1.6293490582798658,2.251335208175992e-05
46,0.7600000000000005,1.6293059714067735,2.5537383187075023e-05
47,0.7700000000000005,1.6292628002236886,2.9109981359276538e-05
48,0.7800000000000005,1.6292185659410785,3.30634593310583e-05
49,0.7900000000000005,1.629173428300146,3.6992062400402846e-05
50,0.8000000000000005,1.629128404743935,4.0423573045853156e-05
51,0.8100000000000005,1.6290826120866793,4.4139434609029394e-05
52,0.8200000000000005,1.629035972700465,4.9586267689941634e-05
53,0.8300000000000005,1.628988905276917,5.388338840047652e-05
54,0.8400000000000005,1.6289415107227072,5.7329325608708086e-05
55,0.8500000000000005,1.62889362605733,6.0607170579901696e-05
56,0.8600000000000005,1.6288446688420697,6.399222391896416e-05
57,0.8700000000000006,1.628795060524359,6.739125401958636e-05
58,0.8800000000000006,1.6287454978277327,7.112601556241997e-05
59,0.8900000000000006,1.62869515600377,7.542158428189886e-05
60,0.9000000000000006,1.6286436889198632,8.007706121375505e-05
61,0.9100000000000006,1.6285920643234897,8.528487643862064e-05
62,0.9200000000000006,1.6285396403162333,9.09859021202279e-05
63,0.9300000000000006,1.628487189712928,9.736436044534924e-05
64,0.9400000000000006,1.6284337193327958,0.00010413190160165164
65,0.9500000000000006,1.6283797455455453,0.00011131640649533043
66,0.9600000000000006,1.6283250645958043,0.0001187707339215593
67,0.9700000000000006,1.6282698328486176,0.00012660690604833247
68,0.9800000000000006,1.6282143795651416,0.00013472463858509945
69,0.9900000000000007,1.6281579128257706,0.0001426624287064315
70,1.0000000000000007,1.628100887244103,0.00015080317351690202
71,1.0100000000000007,1.6280436534573157,0.00015885860831878264
72,1.0200000000000007,1.6279856945903601,0.00016656691729345822
73,1.0300000000000007,1.627926429801979,0.00017414104611104583
74,1.0400000000000007,1.6278671024905644,0.00018079430062652532
75,1.0500000000000007,1.6278077779475857,0.00018688803625156687
76,1.0600000000000007,1.627747515913008,0.0001922371823891727
77,1.0700000000000007,1.6276860057407998,0.00019633358136023467
78,1.0800000000000007,1.6276244056867302,0.0001989266069208248
79,1.0900000000000007,1.6275622853797564,0.00019998642654935923
80,1.1000000000000008,1.627499652590781,0.00019980956950517738
81,1.1100000000000008,1.6274363087488364,0.00019850953874156065
82,1.1200000000000008,1.6273724321040954,0.0001963246632639972
83,1.1300000000000008,1.627307677440237,0.0001930726041768769
84,1.1400000000000008,1.6272427994969005,0.0001891369449701222
85,1.1500000000000008,1.6271769867484407,0.00018495971581571766
86,1.1600000000000008,1.6271110504230712,0.00018086841320423885
87,1.1700000000000008,1.627044028551296,0.0001770895370334409
88,1.1800000000000008,1.6269766044423921,0.00017333828436114426
89,1.1900000000000008,1.6269082543276097,0.00016987231278599963
90,1.2000000000000008,1.6268397131527554,0.00016585993160039378
91,1.2100000000000009,1.6267705158394963,0.00016245244618900073
