WL,n,k
2.34,1.5,0.0013397091
2.35,1.5,0.0013516
2.36,1.5,0.001363491
2.37,1.5,0.001375382
2.38,1.5,0.001387273
2.39,1.5,0.0013991639
2.4,1.5,0.0014110549
2.41,1.5,0.0014229459
2.42,1.5,0.0014348368
2.43,1.5,0.0014467278
2.44,1.5,0.0014586188
2.45,1.5,0.0014705098
2.46,1.5,0.0014824007
2.47,1.5,0.0014942917
2.48,1.5,0.0015061827
2.49,1.5,0.0015180737
2.5,1.5,0.0015299646
2.51,1.5,0.0015418556
2.52,1.5,0.0015537466
2.53,1.5,0.0015658918
2.54,1.5,0.0015796192
2.55,1.5,0.0015933467
2.56,1.5,0.0016070741
2.57,1.5,0.0016208015
2.58,1.5,0.001634529
2.59,1.5,0.0016482564
2.6,1.5,0.0016619839
2.61,1.5,0.0016757113
2.62,1.5,0.0016894387
2.63,1.5,0.0017031662
2.64,1.5,0.0017168936
2.65,1.5,0.001730621
2.66,1.5,0.0017443485
2.67,1.5,0.0017580759
2.68,1.5,0.0017718034
2.69,1.5,0.0017855308
2.7,1.5,0.0017992582
2.71,1.5,0.0018129857
2.72,1.5,0.0018267131
2.73,1.5,0.0018404405
2.74,1.5,0.001854168
2.75,1.5,0.0018678954
2.76,1.5,0.0018816229
2.77,1.5,0.0018953503
2.78,1.5,0.0019090777
2.79,1.5,0.0019228052
2.8,1.5,0.0019365326
2.81,1.5,0.0019502601
2.82,1.5,0.0019639875
2.83,1.5,0.0019777149
2.84,1.5,0.0019914424
2.85,1.5,0.0020051698
2.86,1.5,0.0020188972
2.87,1.5,0.0020326247
2.88,1.5,0.0020463521
2.89,1.5,0.0020600796
2.9,1.5,0.0020741824
2.91,1.5,0.0020887113
2.92,1.5,0.0021032402
2.93,1.5,0.0021177691
2.94,1.5,0.0021322979
2.95,1.5,0.0021468268
2.96,1.5,0.0021613557
2.97,1.5,0.0021758845
2.98,1.5,0.0021904134
2.99,1.5,0.0022049423
3,1.5,0.0022194712
3.01,1.5,0.002234
3.02,1.5,0.0022485289
3.03,1.5,0.0022630578
3.04,1.5,0.0022775867
3.05,1.5,0.0022921155
3.06,1.5,0.0023066444
3.07,1.5,0.0023211733
3.08,1.5,0.0023357022
3.09,1.5,0.002350231
3.1,1.5,0.0023647599
3.11,1.5,0.0023792888
3.12,1.5,0.0023938176
3.13,1.5,0.0024083465
3.14,1.5,0.0024228754
3.15,1.5,0.0024374043
3.16,1.5,0.0024519331
3.17,1.5,0.002466462
3.18,1.5,0.0024809909
3.19,1.5,0.0024955198
3.2,1.5,0.0025100486
