WL,n,k
2.21,,2.84086455235141E-05
2.22,,2.83776148305473E-05
2.23,,2.83465841375806E-05
2.24,,2.83155534446138E-05
2.25,,2.82845227516471E-05
2.26,,2.82534920586803E-05
2.27,,2.82224613657136E-05
2.28,,2.81914306727468E-05
2.29,,2.81603999797801E-05
2.3,,2.81293692868133E-05
2.31,,2.80983385938466E-05
2.32,,2.80673079008798E-05
2.33,,2.80362772079131E-05
2.34,,2.80052465149463E-05
2.35,,2.79742158219796E-05
2.36,,2.79431851290128E-05
2.37,,2.79121544360461E-05
2.38,,2.78811237430793E-05
2.39,,2.78500930501126E-05
2.4,,2.78190623571458E-05
2.41,,0.000027788
2.42,,0.000027757
2.43,,0.000027726
2.44,,2.76949395852789E-05
2.45,,2.76639088923121E-05
2.46,,2.76328781993454E-05
2.47,,2.76018475063786E-05
2.48,,2.75708168134119E-05
2.49,,2.75397861204451E-05
2.5,,2.75087554274784E-05
2.51,,2.74777247345116E-05
2.52,,2.74466940415449E-05
2.53,,2.74156633485781E-05
2.54,,2.73846326556114E-05
2.55,,2.73536019626446E-05
2.56,,2.73225712696779E-05
2.57,,2.72915405767111E-05
2.58,,2.72605098837444E-05
2.59,,2.72294791907776E-05
2.6,,2.71984484978109E-05
2.61,,2.71674178048441E-05
2.62,,2.71363871118774E-05
2.63,,2.71053564189106E-05
2.64,,2.70743257259439E-05
2.65,,2.70432950329771E-05
2.66,,2.70122643400104E-05
2.67,,2.69812336470437E-05
2.68,,2.69502029540769E-05
2.69,,2.69191722611102E-05
2.7,,2.68881415681434E-05
2.71,,2.68571108751767E-05
2.72,,2.68260801822099E-05
2.73,,0.000026795
2.74,,0.000026764
2.75,,0.000026733
2.76,,0.000026702
2.77,,2.66709267173762E-05
2.78,,2.66398960244094E-05
2.79,,2.66088653314427E-05
2.8,,2.65778346384759E-05
2.81,,2.65468039455092E-05
2.82,,2.65157732525424E-05
2.83,,2.64847425595757E-05
2.84,,2.64537118666089E-05
2.85,,2.64226811736422E-05
2.86,,2.63916504806755E-05
2.87,,2.63606197877087E-05
2.88,,2.6329589094742E-05
2.89,,2.62985584017752E-05
2.9,,2.62675277088085E-05
2.91,,2.62364970158417E-05
2.92,,2.6205466322875E-05
2.93,,2.61744356299082E-05
2.94,,2.61434049369415E-05
2.95,,2.61123742439747E-05
2.96,,2.6081343551008E-05
2.97,,2.60503128580412E-05
2.98,,2.60192821650745E-05
2.99,,2.59882514721077E-05
3,,2.5957220779141E-05
3.01,,2.59261900861742E-05
3.02,,2.58951593932075E-05
3.03,,2.58641287002407E-05
3.04,,2.5833098007274E-05
3.05,,2.58020673143072E-05
3.06,,0.000025771
3.07,,0.00002574
3.08,,0.000025709
3.09,,2.56779445424403E-05
3.1,,2.56469138494735E-05
3.11,,2.56158831565068E-05
3.12,,2.558485246354E-05
3.13,,2.55538217705733E-05
3.14,,2.55227910776065E-05
3.15,,2.54917603846398E-05
3.16,,2.5460729691673E-05
3.17,,2.54296989987063E-05
3.18,,2.53986683057395E-05
3.19,,2.53676376127728E-05
3.2,,2.5336606919806E-05
3.21,,2.53055762268393E-05
3.22,,2.52745455338725E-05
3.23,,2.52435148409058E-05
3.24,,2.5212484147939E-05
3.25,,2.51814534549723E-05
3.26,,2.51504227620055E-05
3.27,,2.51193920690388E-05
3.28,,2.50883613760721E-05
3.29,,2.50573306831053E-05
3.3,,2.50262999901386E-05
3.31,,2.49952692971718E-05
3.32,,2.49642386042051E-05
3.33,,2.49332079112383E-05
3.34,,2.49021772182716E-05
3.35,,2.48711465253048E-05
3.36,,2.48401158323381E-05
3.37,,2.48090851393713E-05
3.38,,2.47780544464046E-05
3.39,,0.000024747
3.4,,0.000024716
3.41,,0.000024685
3.42,,2.46539316745376E-05
3.43,,2.46229009815708E-05
3.44,,2.45918702886041E-05
3.45,,2.45608395956373E-05
3.46,,2.45298089026706E-05
3.47,,2.44987782097038E-05
3.48,,2.44677475167371E-05
3.49,,2.44367168237703E-05
3.5,,2.44056861308036E-05
3.51,,2.43746554378369E-05
3.52,,2.43436247448701E-05
3.53,,2.43125940519034E-05
3.54,,2.42815633589366E-05
3.55,,2.42505326659699E-05
3.56,,2.42195019730031E-05
3.57,,2.41884712800364E-05
3.58,,2.41574405870696E-05
3.59,,2.41264098941029E-05
3.6,,2.40953792011361E-05
3.61,,2.40643485081694E-05
3.62,,2.40333178152026E-05
3.63,,2.40022871222359E-05
3.64,,2.39712564292691E-05
3.65,,2.39402257363024E-05
3.66,,2.39091950433356E-05
3.67,,2.38781643503689E-05
3.68,,2.38471336574021E-05
3.69,,2.38161029644354E-05
3.7,,2.37850722714686E-05
3.71,,0.000023754
3.72,,0.000023723
3.73,,0.000023692
3.74,,2.36609494996017E-05
3.75,,2.36299188066349E-05
3.76,,2.35988881136682E-05
3.77,,2.35678574207014E-05
3.78,,2.35368267277347E-05
3.79,,2.35057960347679E-05
3.8,,2.34747653418012E-05
3.81,,2.34437346488344E-05
3.82,,2.34127039558677E-05
3.83,,2.33816732629009E-05
3.84,,2.33506425699342E-05
3.85,,2.33196118769674E-05
3.86,,2.32885811840007E-05
3.87,,2.32575504910339E-05
3.88,,2.32265197980672E-05
3.89,,2.31954891051004E-05
3.9,,2.31644584121337E-05
3.91,,2.31334277191669E-05
3.92,,2.31023970262002E-05
3.93,,2.30713663332335E-05
3.94,,2.30403356402667E-05
3.95,,2.30093049473E-05
3.96,,2.29782742543332E-05
3.97,,2.29472435613665E-05
3.98,,2.29162128683997E-05
3.99,,2.2885182175433E-05
4,,2.28541514824662E-05
4.01,,2.28231207894995E-05
4.02,,2.27920900965327E-05
4.03,,2.2761059403566E-05
4.04,,0.00002273
4.05,,0.000022699
4.06,,0.000022668
4.07,,2.2636936631699E-05
4.08,,2.26059059387322E-05
4.09,,2.25748752457655E-05
4.1,,2.25438445527987E-05
4.11,,2.2512813859832E-05
4.12,,2.24817831668652E-05
