TIME,Cumulative dark ice extent in common area (km^2)
2017-06-01,0.377
2017-06-02,0.754
2017-06-03,0.754
2017-06-04,0.754
2017-06-05,0.754
2017-06-06,0.754
2017-06-07,0.754
2017-06-08,0.754
2017-06-09,0.754
2017-06-10,1.131
2017-06-11,1.131
2017-06-12,2.262
2017-06-13,2.6390000000000002
2017-06-14,3.016
2017-06-15,5.655
2017-06-16,5.655
2017-06-17,6.032
2017-06-18,6.032
2017-06-19,6.786
2017-06-20,6.786
2017-06-21,7.539999999999999
2017-06-22,11.309999999999999
2017-06-23,15.079999999999998
2017-06-24,19.604
2017-06-25,35.061
2017-06-26,39.208
2017-06-27,41.092999999999996
2017-06-28,41.092999999999996
2017-06-29,41.092999999999996
2017-06-30,41.846999999999994
2017-07-01,41.846999999999994
2017-07-02,41.846999999999994
2017-07-03,41.846999999999994
2017-07-04,41.846999999999994
2017-07-05,42.60099999999999
2017-07-06,42.60099999999999
2017-07-07,42.977999999999994
2017-07-08,42.977999999999994
2017-07-09,43.73199999999999
2017-07-10,44.108999999999995
2017-07-11,44.486
2017-07-12,44.486
2017-07-13,51.649
2017-07-14,52.026
2017-07-15,53.157000000000004
2017-07-16,53.157000000000004
2017-07-17,53.157000000000004
2017-07-18,66.352
2017-07-19,72.007
2017-07-20,124.41
2017-07-21,209.98899999999998
2017-07-22,277.09499999999997
2017-07-23,596.037
2017-07-24,1315.73
2017-07-25,1678.027
2017-07-26,1705.171
2017-07-27,2170.389
2017-07-28,2248.8050000000003
2017-07-29,2531.5550000000003
2017-07-30,2591.121
2017-07-31,2703.09
2017-08-01,2757.755
2017-08-02,2789.0460000000003
2017-08-03,2868.5930000000003
2017-08-04,3068.4030000000002
2017-08-05,3106.103
2017-08-06,3309.306
2017-08-07,3309.683
2017-08-08,3310.06
2017-08-09,3310.06
2017-08-10,3310.06
2017-08-11,3310.06
2017-08-12,3310.06
2017-08-13,3310.06
2017-08-14,3310.06
2017-08-15,3310.06
2017-08-16,3310.06
2017-08-17,3310.06
2017-08-18,3310.06
2017-08-19,3310.06
2017-08-20,3310.06
2017-08-21,3310.06
2017-08-22,3310.06
2017-08-23,3310.06
2017-08-24,3310.06
2017-08-25,3310.06
2017-08-26,3310.06
